DBUID,dbpop2021,lon,lat,ONS_ID,ONS_Name,ONS_Region,rurality,num_unhealthy,num_healthy,costing,distance
35010240004,67,-74.74165014569836,45.017069603309274,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010238001,41,-74.73854279827728,45.01570578831867,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010319001,10,-74.86341178405137,45.040749379861055,3808,South Stormont,"Stormont, Dundas and Glengarry",rural,18,8,auto,15
35010238002,68,-74.7380674082747,45.015768744977834,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010200011,34,-74.7338868172399,45.01464490708419,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010238003,31,-74.74025894564934,45.01546055616631,3802,Cornwall,"Stormont, Dundas and Glengarry",town,14,7,auto,10
35010405019,40,-74.42131020012293,45.21467458889933,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,2,0,auto,15
35010346006,53,-75.00426129380183,45.23995319841289,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,3,0,auto,15
35010355004,36,-74.81566841866565,45.1962072494668,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,2,0,auto,15
35010355003,65,-74.84325240676031,45.20938870939401,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,5,0,auto,15
35010355013,48,-74.87680599386906,45.19824249414513,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,5,0,auto,15
35010348009,33,-74.90833538403247,45.20540861124393,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,4,0,auto,15
35010400004,72,-74.50605665214307,45.14235783415686,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010166005,221,-74.68625060200657,45.169387439067265,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,0,0,auto,15
35010400002,39,-74.50399097956391,45.14421025444161,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403014,27,-74.50019969383862,45.14343799192885,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010400003,23,-74.50338296634628,45.143459489521504,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010403016,26,-74.50102679517808,45.14309429530768,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,6,1,auto,15
35010170001,15,-74.61900304378422,45.12933602124644,3807,South Glengarry,"Stormont, Dundas and Glengarry",rural,3,1,auto,15
35010356002,57,-74.90414994250878,45.18663371835664,3805,North Stormont,"Stormont, Dundas and Glengarry",rural,7,0,auto,15
